logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,レーン情報数,レーンID,左側車線のレーンID,右側車線のレーンID,レーン付加属性フラグ,レーン属性オプションフラグ ,距離[cm],レーンNW種別,車線属性種別 ,レーン番号,最高速度情報[kmh],幅員情報[cm],鮮度情報チェック状態,鮮度情報,中央分離帯種別,精度管理フラグ,工事開始日,工事開始時間,工事種別,機能制限フラグ３,機能制限フラグ２,機能制限フラグ１,経路変換状態,SDLinkage有無,ADAS2.0属性数,(1) 始点リンクフラグ,(1) 道路種別コード,(1) リンク種別,(1) リンク属性オプションフラグ,(1) リンク付加属性フラグ,信号機情報ID数,道路標示情報ID数,標識情報ID数,(1) 標識情報ID,停止線情報ID数,ライン型地物ID数,(1) ライン型地物ID,(1) 位置種別,(2) ライン型地物ID,(2) 位置種別,(3) ライン型地物ID,(3) 位置種別,(4) ライン型地物ID,(4) 位置種別,前方レーンID数,(1) 前方レーンID,後方レーンID数,(1) 後方レーンID,(2) 始点リンクフラグ,(2) 道路種別コード,(2) リンク種別,(2) リンク属性オプションフラグ,(2) リンク付加属性フラグ,(2) 標識情報ID,(3) 標識情報ID
1538152,0x40367,False,285,2488515,2496506,7,3,5130010000000632917,5130010000000632931,0,10,99,7990,1,1,3,120,359,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528918,1,1748801386482528919,2,1748801387019399827,1,1748801387019399832,2,1,5130010000000634760,1,5130010000000632912,,,,,,,
1541583,0x40372,False,292,2488515,2496506,7,3,5130010000000632924,0,5130010000000632931,129,99,8006,1,2,1,120,364,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528914,1,1748801386482528913,2,1748801387019399827,1,1748801387019399832,2,1,5130010000000634754,1,5130010000000632929,,,,,,,
1541583,0x40372,False,292,2488515,2496506,7,3,5130010000000632931,5130010000000632924,5130010000000632917,140,35,7989,1,2,2,120,375,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528913,1,1748801386482528918,2,1748801387019399827,1,1748801387019399832,2,1,5130010000000634769,1,5130010000000632921,,,,,,,
1541583,0x40372,False,292,2488515,2496506,7,3,5130010000000632917,5130010000000632931,0,10,99,7990,1,1,3,120,359,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528918,1,1748801386482528919,2,1748801387019399827,1,1748801387019399832,2,1,5130010000000634760,1,5130010000000632912,,,,,,,
1637275,0x403d3,False,285,2496506,2504496,7,3,5130010000000634754,0,5130010000000634769,129,99,8015,1,2,1,120,367,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528926,1,1748801386482528924,2,1748801387019399843,1,1748801387019399844,2,1,5130010000000634766,1,5130010000000632924,,,,,,,
1637275,0x403d3,False,285,2496506,2504496,7,3,5130010000000634769,5130010000000634754,5130010000000634760,140,35,7993,1,2,2,120,373,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528924,1,1748801386482528925,2,1748801387019399843,1,1748801387019399844,2,1,5130010000000634776,1,5130010000000632931,,,,,,,
1637275,0x403d3,False,285,2496506,2504496,7,3,5130010000000634760,5130010000000634769,0,10,99,7962,1,1,3,120,360,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528925,1,1748801386482528927,2,1748801387019399843,1,1748801387019399844,2,1,5130010000000634772,1,5130010000000632917,,,,,,,
1706887,0x40408,False,292,2496506,2504496,7,3,5130010000000634754,0,5130010000000634769,129,99,8015,1,2,1,120,367,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528926,1,1748801386482528924,2,1748801387019399843,1,1748801387019399844,2,1,5130010000000634766,1,5130010000000632924,,,,,,,
1706887,0x40408,False,292,2496506,2504496,7,3,5130010000000634769,5130010000000634754,5130010000000634760,140,35,7993,1,2,2,120,373,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528924,1,1748801386482528925,2,1748801387019399843,1,1748801387019399844,2,1,5130010000000634776,1,5130010000000632931,,,,,,,
1706887,0x40408,False,292,2496506,2504496,7,3,5130010000000634760,5130010000000634769,0,10,99,7962,1,1,3,120,360,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528925,1,1748801386482528927,2,1748801387019399843,1,1748801387019399844,2,1,5130010000000634772,1,5130010000000632917,,,,,,,
